FILE_DATE,PHU_NAME,PHU_NUM,ACTIVE_CASES,RESOLVED_CASES,DEATHS
2020-04-11,HURON PERTH,5183,18,10,1
2020-04-11,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",2241,7,45,0
2020-04-11,LAMBTON COUNTY,2242,61,33,9
2020-04-11,"LEEDS, GRENVILLE AND LANARK DISTRICT",2243,108,39,10
2020-04-11,MIDDLESEX-LONDON,2244,120,57,8
2020-04-11,NIAGARA REGION,2246,90,102,15
2020-04-11,NORTH BAY PARRY SOUND DISTRICT,2247,3,4,0
2020-04-11,NORTHWESTERN,2249,0,9,0
2020-04-11,OXFORD ELGIN-ST.THOMAS,4913,12,14,2
2020-04-11,PEEL REGION,2253,603,257,15
2020-04-11,PETERBOROUGH COUNTY-CITY,2255,15,36,0
2020-04-11,PORCUPINE,2256,17,19,2
2020-04-11,RENFREW COUNTY AND DISTRICT,2257,4,7,1
2020-04-11,SIMCOE MUSKOKA DISTRICT,2260,69,62,6
2020-04-11,SUDBURY AND DISTRICT,2261,6,22,1
2020-04-11,THUNDER BAY DISTRICT,2262,13,11,0
2020-04-11,TIMISKAMING,2263,3,4,0
2020-04-11,TORONTO,3895,999,636,69
2020-04-11,WATERLOO REGION,2265,90,105,6
2020-04-11,WELLINGTON-DUFFERIN-GUELPH,2266,87,43,2
2020-04-11,WINDSOR-ESSEX COUNTY,2268,185,80,7
2020-04-11,YORK REGION,2270,319,309,24
2020-04-12,ALGOMA DISTRICT,2226,3,7,0
2020-04-12,BRANT COUNTY,2227,22,43,1
2020-04-12,CHATHAM-KENT,2240,7,11,1
2020-04-12,CITY OF HAMILTON,2237,79,140,8
2020-04-12,CITY OF OTTAWA,2251,226,302,8
2020-04-12,DURHAM REGION,2230,132,180,20
2020-04-12,EASTERN ONTARIO,2258,18,39,0
2020-04-12,GREY BRUCE,2233,19,15,0
2020-04-12,HALDIMAND-NORFOLK,2234,80,31,10
2020-04-12,"HALIBURTON, KAWARTHA, PINE RIDGE",2235,29,81,18
2020-04-12,HALTON REGION,2236,111,154,10
2020-04-12,HASTINGS & PRINCE EDWARD COUNTIES,2238,10,15,1
2020-04-12,HURON PERTH,5183,18,11,1
2020-04-12,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",2241,5,48,0
2020-04-12,LAMBTON COUNTY,2242,60,40,10
2020-04-12,"LEEDS, GRENVILLE AND LANARK DISTRICT",2243,128,46,10
2020-04-12,MIDDLESEX-LONDON,2244,116,74,9
2020-04-12,NIAGARA REGION,2246,94,110,20
2020-04-12,NORTH BAY PARRY SOUND DISTRICT,2247,4,4,0
2020-04-12,NORTHWESTERN,2249,0,9,0
2020-04-12,OXFORD ELGIN-ST.THOMAS,4913,15,15,2
2020-04-12,PEEL REGION,2253,636,284,17
2020-04-12,PETERBOROUGH COUNTY-CITY,2255,13,38,0
2020-04-12,PORCUPINE,2256,15,23,2
2020-04-12,RENFREW COUNTY AND DISTRICT,2257,5,8,1
2020-04-12,SIMCOE MUSKOKA DISTRICT,2260,64,67,7
2020-04-12,SUDBURY AND DISTRICT,2261,5,24,1
2020-04-12,THUNDER BAY DISTRICT,2262,11,13,0
2020-04-12,TIMISKAMING,2263,3,4,0
2020-04-12,TORONTO,3895,1065,689,76
2020-04-12,WATERLOO REGION,2265,89,113,6
2020-04-12,WELLINGTON-DUFFERIN-GUELPH,2266,83,47,2
2020-04-12,WINDSOR-ESSEX COUNTY,2268,190,89,7
2020-04-12,YORK REGION,2270,299,347,26
2020-04-13,ALGOMA DISTRICT,2226,3,7,0
2020-04-13,BRANT COUNTY,2227,24,43,1
2020-04-13,CHATHAM-KENT,2240,12,12,1
2020-04-13,CITY OF HAMILTON,2237,80,150,8
2020-04-13,CITY OF OTTAWA,2251,234,319,8
2020-04-13,DURHAM REGION,2230,137,193,20
2020-04-13,EASTERN ONTARIO,2258,18,40,0
2020-04-13,GREY BRUCE,2233,19,17,0
2020-04-13,HALDIMAND-NORFOLK,2234,79,36,13
2020-04-13,"HALIBURTON, KAWARTHA, PINE RIDGE",2235,28,83,18
2020-04-13,HALTON REGION,2236,118,162,11
2020-04-13,HASTINGS & PRINCE EDWARD COUNTIES,2238,10,15,1
2020-04-13,HURON PERTH,5183,18,11,2
2020-04-13,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",2241,2,51,0
2020-04-13,LAMBTON COUNTY,2242,62,43,10
2020-04-13,"LEEDS, GRENVILLE AND LANARK DISTRICT",2243,141,48,12
2020-04-13,MIDDLESEX-LONDON,2244,127,85,11
2020-04-13,NIAGARA REGION,2246,93,124,21
2020-04-13,NORTH BAY PARRY SOUND DISTRICT,2247,5,4,0
2020-04-13,NORTHWESTERN,2249,0,9,0
2020-04-13,OXFORD ELGIN-ST.THOMAS,4913,15,16,2
2020-04-13,PEEL REGION,2253,648,323,18
2020-04-13,PETERBOROUGH COUNTY-CITY,2255,13,38,1
2020-04-13,PORCUPINE,2256,12,25,2
2020-04-13,RENFREW COUNTY AND DISTRICT,2257,5,8,1
2020-04-13,SIMCOE MUSKOKA DISTRICT,2260,70,71,7
2020-04-13,SUDBURY AND DISTRICT,2261,8,25,1
2020-04-13,THUNDER BAY DISTRICT,2262,12,15,0
2020-04-13,TIMISKAMING,2263,3,4,0
2020-04-13,TORONTO,3895,1201,721,78
2020-04-13,WATERLOO REGION,2265,90,121,6
2020-04-13,WELLINGTON-DUFFERIN-GUELPH,2266,82,49,2
2020-04-13,WINDSOR-ESSEX COUNTY,2268,180,103,7
2020-04-13,YORK REGION,2270,273,386,29
2020-04-14,ALGOMA DISTRICT,2226,3,7,0
2020-04-14,BRANT COUNTY,2227,22,45,1
2020-04-14,CHATHAM-KENT,2240,11,13,1
2020-04-14,CITY OF HAMILTON,2237,83,154,9
2020-04-14,CITY OF OTTAWA,2251,251,333,8
2020-04-14,DURHAM REGION,2230,162,202,22
2020-04-14,EASTERN ONTARIO,2258,16,45,0
2020-04-14,GREY BRUCE,2233,19,18,0
2020-04-14,HALDIMAND-NORFOLK,2234,63,50,16
2020-04-14,"HALIBURTON, KAWARTHA, PINE RIDGE",2235,26,85,18
2020-04-14,HALTON REGION,2236,148,171,11
2020-04-14,HASTINGS & PRINCE EDWARD COUNTIES,2238,10,15,1
2020-04-14,HURON PERTH,5183,15,14,2
2020-04-14,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",2241,3,51,0
2020-04-14,LAMBTON COUNTY,2242,55,52,10
2020-04-14,"LEEDS, GRENVILLE AND LANARK DISTRICT",2243,131,51,24
2020-04-14,MIDDLESEX-LONDON,2244,131,99,11
2020-04-14,NIAGARA REGION,2246,93,135,23
2020-04-14,NORTH BAY PARRY SOUND DISTRICT,2247,6,4,0
2020-04-14,NORTHWESTERN,2249,1,9,0
2020-04-14,OXFORD ELGIN-ST.THOMAS,4913,15,17,2
2020-04-14,PEEL REGION,2253,683,343,19
2020-04-14,PETERBOROUGH COUNTY-CITY,2255,12,40,1
2020-04-14,PORCUPINE,2256,12,25,2
2020-04-14,RENFREW COUNTY AND DISTRICT,2257,5,8,1
2020-04-14,SIMCOE MUSKOKA DISTRICT,2260,67,79,7
2020-04-14,SUDBURY AND DISTRICT,2261,9,27,1
2020-04-14,THUNDER BAY DISTRICT,2262,12,20,0
2020-04-14,TIMISKAMING,2263,3,4,0
2020-04-14,TORONTO,3895,1295,760,93
2020-04-14,WATERLOO REGION,2265,87,128,6
2020-04-14,WELLINGTON-DUFFERIN-GUELPH,2266,101,51,2
2020-04-14,WINDSOR-ESSEX COUNTY,2268,191,108,7
2020-04-14,YORK REGION,2270,310,405,36
2020-04-15,ALGOMA DISTRICT,2226,3,7,0
2020-04-15,BRANT COUNTY,2227,21,49,1
2020-04-15,CHATHAM-KENT,2240,11,13,1
2020-04-15,CITY OF HAMILTON,2237,94,160,9
2020-04-15,CITY OF OTTAWA,2251,245,364,9
2020-04-15,DURHAM REGION,2230,198,219,30
2020-04-15,EASTERN ONTARIO,2258,13,48,0
2020-04-15,GREY BRUCE,2233,20,18,0
2020-04-15,HALDIMAND-NORFOLK,2234,69,55,20
2020-04-15,"HALIBURTON, KAWARTHA, PINE RIDGE",2235,24,88,18
2020-04-15,HALTON REGION,2236,145,182,11
2020-04-15,HASTINGS & PRINCE EDWARD COUNTIES,2238,8,17,1
2020-04-15,HURON PERTH,5183,14,16,3
2020-04-15,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",2241,2,52,0
2020-04-15,LAMBTON COUNTY,2242,42,64,11
2020-04-15,"LEEDS, GRENVILLE AND LANARK DISTRICT",2243,140,59,26
2020-04-15,MIDDLESEX-LONDON,2244,126,111,11
2020-04-15,NIAGARA REGION,2246,105,145,25
2020-04-15,NORTH BAY PARRY SOUND DISTRICT,2247,6,6,0
2020-04-15,NORTHWESTERN,2249,1,9,0
2020-04-15,OXFORD ELGIN-ST.THOMAS,4913,15,18,2
2020-04-15,PEEL REGION,2253,698,402,22
2020-04-15,PETERBOROUGH COUNTY-CITY,2255,12,40,1
2020-04-15,PORCUPINE,2256,7,30,2
2020-04-15,RENFREW COUNTY AND DISTRICT,2257,5,8,1
2020-04-15,SIMCOE MUSKOKA DISTRICT,2260,64,84,8
2020-04-15,SUDBURY AND DISTRICT,2261,8,29,1
2020-04-15,THUNDER BAY DISTRICT,2262,9,23,0
2020-04-15,TIMISKAMING,2263,4,6,0
2020-04-15,TORONTO,3895,1333,834,116
2020-04-15,WATERLOO REGION,2265,78,141,6
2020-04-15,WELLINGTON-DUFFERIN-GUELPH,2266,103,56,3
2020-04-15,WINDSOR-ESSEX COUNTY,2268,216,119,7
2020-04-15,YORK REGION,2270,321,430,40
2020-04-16,ALGOMA DISTRICT,2226,3,7,0
2020-04-16,BRANT COUNTY,2227,19,50,2
2020-04-16,CHATHAM-KENT,2240,9,15,1
2020-04-16,CITY OF HAMILTON,2237,120,162,10
2020-04-16,CITY OF OTTAWA,2251,257,384,9
2020-04-16,DURHAM REGION,2230,200,229,34
2020-04-16,EASTERN ONTARIO,2258,16,48,0
2020-04-16,GREY BRUCE,2233,22,18,0
2020-04-16,HALDIMAND-NORFOLK,2234,64,61,20
2020-04-16,"HALIBURTON, KAWARTHA, PINE RIDGE",2235,23,90,18
2020-04-16,HALTON REGION,2236,138,198,11
2020-04-16,HASTINGS & PRINCE EDWARD COUNTIES,2238,9,18,1
2020-04-16,HURON PERTH,5183,13,17,3
2020-04-16,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",2241,2,52,0
2020-04-16,LAMBTON COUNTY,2242,44,71,11
2020-04-16,"LEEDS, GRENVILLE AND LANARK DISTRICT",2243,152,68,28
2020-04-16,MIDDLESEX-LONDON,2244,117,119,14
2020-04-16,NIAGARA REGION,2246,131,157,26
2020-04-16,NORTH BAY PARRY SOUND DISTRICT,2247,6,6,0
2020-04-16,NORTHWESTERN,2249,1,9,0
2020-04-16,OXFORD ELGIN-ST.THOMAS,4913,14,20,3
2020-04-16,PEEL REGION,2253,712,456,27
2020-04-16,PETERBOROUGH COUNTY-CITY,2255,10,42,1
2020-04-16,PORCUPINE,2256,9,31,2
2020-04-16,RENFREW COUNTY AND DISTRICT,2257,3,10,1
2020-04-16,SIMCOE MUSKOKA DISTRICT,2260,71,88,10
2020-04-16,SUDBURY AND DISTRICT,2261,8,30,1
2020-04-16,THUNDER BAY DISTRICT,2262,10,24,0
2020-04-16,TIMISKAMING,2263,3,7,0
2020-04-16,TORONTO,3895,1388,901,125
2020-04-16,WATERLOO REGION,2265,77,151,6
2020-04-16,WELLINGTON-DUFFERIN-GUELPH,2266,96,65,6
2020-04-16,WINDSOR-ESSEX COUNTY,2268,254,135,9
2020-04-16,YORK REGION,2270,343,455,44
2020-04-17,ALGOMA DISTRICT,2226,3,8,0
2020-04-17,BRANT COUNTY,2227,15,55,2
2020-04-17,CHATHAM-KENT,2240,8,16,1
2020-04-17,CITY OF HAMILTON,2237,120,170,11
2020-04-17,CITY OF OTTAWA,2251,276,410,16
2020-04-17,DURHAM REGION,2230,222,247,37
2020-04-17,EASTERN ONTARIO,2258,13,52,0
2020-04-17,GREY BRUCE,2233,23,19,0
2020-04-17,HALDIMAND-NORFOLK,2234,62,68,20
2020-04-17,"HALIBURTON, KAWARTHA, PINE RIDGE",2235,21,89,19
2020-04-17,HALTON REGION,2236,128,215,12
2020-04-17,HASTINGS & PRINCE EDWARD COUNTIES,2238,7,20,1
2020-04-17,HURON PERTH,5183,11,20,3
2020-04-17,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",2241,2,52,0
2020-04-17,LAMBTON COUNTY,2242,34,80,12
2020-04-17,"LEEDS, GRENVILLE AND LANARK DISTRICT",2243,140,82,31
2020-04-17,MIDDLESEX-LONDON,2244,122,136,15
2020-04-17,NIAGARA REGION,2246,150,167,26
2020-04-17,NORTH BAY PARRY SOUND DISTRICT,2247,5,7,0
2020-04-17,NORTHWESTERN,2249,1,9,0
2020-04-17,OXFORD ELGIN-ST.THOMAS,4913,15,20,3
2020-04-17,PEEL REGION,2253,732,497,32
2020-04-17,PETERBOROUGH COUNTY-CITY,2255,8,43,1
2020-04-17,PORCUPINE,2256,10,34,2
2020-04-17,RENFREW COUNTY AND DISTRICT,2257,3,10,1
2020-04-17,SIMCOE MUSKOKA DISTRICT,2260,74,95,11
2020-04-17,SUDBURY AND DISTRICT,2261,8,32,1
2020-04-17,THUNDER BAY DISTRICT,2262,10,26,0
2020-04-17,TIMISKAMING,2263,3,7,0
2020-04-17,TORONTO,3895,1502,1005,149
2020-04-17,WATERLOO REGION,2265,74,157,6
2020-04-17,WELLINGTON-DUFFERIN-GUELPH,2266,87,77,9
2020-04-17,WINDSOR-ESSEX COUNTY,2268,252,151,12
2020-04-17,YORK REGION,2270,350,480,45
2020-04-18,ALGOMA DISTRICT,2226,3,9,0
2020-04-18,BRANT COUNTY,2227,16,56,3
2020-04-18,CHATHAM-KENT,2240,10,18,1
2020-04-18,CITY OF HAMILTON,2237,121,176,12
2020-04-18,CITY OF OTTAWA,2251,288,426,17
2020-04-18,DURHAM REGION,2230,238,259,40
2020-04-18,EASTERN ONTARIO,2258,14,53,0
2020-04-18,GREY BRUCE,2233,22,21,0
2020-04-18,HALDIMAND-NORFOLK,2234,57,77,21
2020-04-18,"HALIBURTON, KAWARTHA, PINE RIDGE",2235,16,94,19
2020-04-18,HALTON REGION,2236,130,224,12
2020-04-18,HASTINGS & PRINCE EDWARD COUNTIES,2238,7,22,1
2020-04-18,HURON PERTH,5183,9,22,3
2020-04-18,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",2241,2,52,0
2020-04-18,LAMBTON COUNTY,2242,31,85,13
2020-04-18,"LEEDS, GRENVILLE AND LANARK DISTRICT",2243,132,89,32
2020-04-18,MIDDLESEX-LONDON,2244,119,149,16
2020-04-18,NIAGARA REGION,2246,149,179,27
2020-04-18,NORTH BAY PARRY SOUND DISTRICT,2247,3,9,0
2020-04-18,NORTHWESTERN,2249,3,9,0
2020-04-18,OXFORD ELGIN-ST.THOMAS,4913,16,21,3
2020-04-18,PEEL REGION,2253,749,545,34
2020-04-18,PETERBOROUGH COUNTY-CITY,2255,9,45,1
2020-04-18,PORCUPINE,2256,11,35,2
2020-04-18,RENFREW COUNTY AND DISTRICT,2257,3,10,1
2020-04-18,SIMCOE MUSKOKA DISTRICT,2260,72,95,10
2020-04-18,SUDBURY AND DISTRICT,2261,8,32,1
2020-04-18,THUNDER BAY DISTRICT,2262,14,28,0
2020-04-18,TIMISKAMING,2263,3,7,0
2020-04-18,TORONTO,3895,1595,1109,157
2020-04-18,WATERLOO REGION,2265,79,161,6
2020-04-18,WELLINGTON-DUFFERIN-GUELPH,2266,84,83,11
2020-04-18,WINDSOR-ESSEX COUNTY,2268,229,171,24
2020-04-18,YORK REGION,2270,379,504,47
2020-04-19,ALGOMA DISTRICT,2226,2,10,0
2020-04-19,BRANT COUNTY,2227,15,58,3
2020-04-19,CHATHAM-KENT,2240,8,20,1
2020-04-19,CITY OF HAMILTON,2237,113,182,14
2020-04-19,CITY OF OTTAWA,2251,315,442,18
2020-04-19,DURHAM REGION,2230,252,271,48
2020-04-19,EASTERN ONTARIO,2258,13,54,0
2020-04-19,GREY BRUCE,2233,32,25,0
2020-04-19,HALDIMAND-NORFOLK,2234,50,84,23
2020-04-19,"HALIBURTON, KAWARTHA, PINE RIDGE",2235,18,94,19
2020-04-19,HALTON REGION,2236,127,234,15
2020-04-19,HASTINGS & PRINCE EDWARD COUNTIES,2238,9,22,1
2020-04-19,HURON PERTH,5183,6,25,3
2020-04-19,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",2241,1,53,0
2020-04-19,LAMBTON COUNTY,2242,28,89,13
2020-04-19,"LEEDS, GRENVILLE AND LANARK DISTRICT",2243,130,103,34
2020-04-19,MIDDLESEX-LONDON,2244,129,154,18
2020-04-19,NIAGARA REGION,2246,132,198,31
2020-04-19,NORTH BAY PARRY SOUND DISTRICT,2247,4,9,0
2020-04-19,NORTHWESTERN,2249,3,9,0
2020-04-19,OXFORD ELGIN-ST.THOMAS,4913,16,21,3
2020-04-19,PEEL REGION,2253,785,603,37
2020-04-19,PETERBOROUGH COUNTY-CITY,2255,9,46,1
2020-04-19,PORCUPINE,2256,10,36,2
2020-04-19,RENFREW COUNTY AND DISTRICT,2257,2,11,1
2020-04-19,SIMCOE MUSKOKA DISTRICT,2260,74,101,10
2020-04-19,SUDBURY AND DISTRICT,2261,5,35,1
2020-04-19,THUNDER BAY DISTRICT,2262,18,29,0
2020-04-19,TIMISKAMING,2263,3,7,0
2020-04-19,TORONTO,3895,1715,1203,167
2020-04-19,WATERLOO REGION,2265,72,170,6
2020-04-19,WELLINGTON-DUFFERIN-GUELPH,2266,84,87,11
2020-04-19,WINDSOR-ESSEX COUNTY,2268,224,190,26
2020-04-19,YORK REGION,2270,412,534,47
2020-04-20,ALGOMA DISTRICT,2226,2,10,0
2020-04-20,BRANT COUNTY,2227,14,60,4
2020-04-20,CHATHAM-KENT,2240,8,21,1
2020-04-20,CITY OF HAMILTON,2237,112,193,15
2020-04-20,CITY OF OTTAWA,2251,349,461,20
2020-04-20,DURHAM REGION,2230,286,286,51
2020-04-20,EASTERN ONTARIO,2258,15,54,0
2020-04-20,GREY BRUCE,2233,35,26,0
2020-04-20,HALDIMAND-NORFOLK,2234,47,87,23
2020-04-20,"HALIBURTON, KAWARTHA, PINE RIDGE",2235,20,98,19
2020-04-20,HALTON REGION,2236,125,243,16
2020-04-20,HASTINGS & PRINCE EDWARD COUNTIES,2238,11,22,1
2020-04-20,HURON PERTH,5183,7,23,4
2020-04-20,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",2241,2,53,0
2020-04-20,LAMBTON COUNTY,2242,28,91,13
2020-04-20,"LEEDS, GRENVILLE AND LANARK DISTRICT",2243,123,113,34
2020-04-20,MIDDLESEX-LONDON,2244,133,159,20
2020-04-20,NIAGARA REGION,2246,123,216,32
2020-04-20,NORTH BAY PARRY SOUND DISTRICT,2247,4,9,0
2020-04-20,NORTHWESTERN,2249,3,9,0
2020-04-20,OXFORD ELGIN-ST.THOMAS,4913,14,25,3
2020-04-20,PEEL REGION,2253,932,635,44
2020-04-20,PETERBOROUGH COUNTY-CITY,2255,7,48,1
2020-04-20,PORCUPINE,2256,10,36,3
2020-04-20,RENFREW COUNTY AND DISTRICT,2257,2,11,1
2020-04-20,SIMCOE MUSKOKA DISTRICT,2260,72,108,10
2020-04-20,SUDBURY AND DISTRICT,2261,6,35,1
2020-04-20,THUNDER BAY DISTRICT,2262,18,29,0
2020-04-20,TIMISKAMING,2263,3,8,0
2020-04-20,TORONTO,3895,1773,1292,176
2020-04-20,WATERLOO REGION,2265,67,180,7
2020-04-20,WELLINGTON-DUFFERIN-GUELPH,2266,91,91,11
2020-04-20,WINDSOR-ESSEX COUNTY,2268,228,204,26
2020-04-20,YORK REGION,2270,415,579,48
2020-04-21,ALGOMA DISTRICT,2226,2,10,0
2020-04-21,BRANT COUNTY,2227,15,62,4
2020-04-21,CHATHAM-KENT,2240,8,22,1
2020-04-21,CITY OF HAMILTON,2237,115,203,16
2020-04-21,CITY OF OTTAWA,2251,370,479,20
2020-04-21,DURHAM REGION,2230,310,299,60
2020-04-21,EASTERN ONTARIO,2258,16,54,0
2020-04-21,GREY BRUCE,2233,30,31,0
2020-04-21,HALDIMAND-NORFOLK,2234,47,90,25
2020-04-21,"HALIBURTON, KAWARTHA, PINE RIDGE",2235,19,97,19
2020-04-21,HALTON REGION,2236,116,253,16
2020-04-21,HASTINGS & PRINCE EDWARD COUNTIES,2238,10,23,1
2020-04-21,HURON PERTH,5183,5,27,4
2020-04-21,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",2241,3,53,0
2020-04-21,LAMBTON COUNTY,2242,40,92,14
2020-04-21,"LEEDS, GRENVILLE AND LANARK DISTRICT",2243,116,123,37
2020-04-21,MIDDLESEX-LONDON,2244,152,167,22
2020-04-21,NIAGARA REGION,2246,122,226,33
2020-04-21,NORTH BAY PARRY SOUND DISTRICT,2247,4,10,0
2020-04-21,NORTHWESTERN,2249,2,11,0
2020-04-21,OXFORD ELGIN-ST.THOMAS,4913,10,29,3
2020-04-21,PEEL REGION,2253,1009,681,48
2020-04-21,PETERBOROUGH COUNTY-CITY,2255,7,50,1
2020-04-21,PORCUPINE,2256,10,36,3
2020-04-21,RENFREW COUNTY AND DISTRICT,2257,2,11,1
2020-04-21,SIMCOE MUSKOKA DISTRICT,2260,76,116,10
2020-04-21,SUDBURY AND DISTRICT,2261,7,36,1
2020-04-21,THUNDER BAY DISTRICT,2262,16,32,0
2020-04-21,TIMISKAMING,2263,4,8,0
2020-04-21,TORONTO,3895,1819,1370,183
2020-04-21,WATERLOO REGION,2265,72,185,7
2020-04-21,WELLINGTON-DUFFERIN-GUELPH,2266,89,97,11
2020-04-21,WINDSOR-ESSEX COUNTY,2268,238,217,29
2020-04-21,YORK REGION,2270,446,606,53
2020-04-22,ALGOMA DISTRICT,2226,2,10,0
2020-04-22,BRANT COUNTY,2227,15,63,4
2020-04-22,CHATHAM-KENT,2240,6,24,1
2020-04-22,CITY OF HAMILTON,2237,111,214,17
2020-04-22,CITY OF OTTAWA,2251,382,504,27
2020-04-22,DURHAM REGION,2230,330,317,66
2020-04-22,EASTERN ONTARIO,2258,14,56,0
2020-04-22,GREY BRUCE,2233,27,36,0
2020-04-22,HALDIMAND-NORFOLK,2234,36,103,25
2020-04-22,"HALIBURTON, KAWARTHA, PINE RIDGE",2235,17,101,19
2020-04-22,HALTON REGION,2236,116,259,18
2020-04-22,HASTINGS & PRINCE EDWARD COUNTIES,2238,10,24,1
2020-04-22,HURON PERTH,5183,4,28,4
2020-04-22,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",2241,5,53,0
2020-04-22,LAMBTON COUNTY,2242,34,98,14
2020-04-22,"LEEDS, GRENVILLE AND LANARK DISTRICT",2243,110,130,39
2020-04-22,MIDDLESEX-LONDON,2244,155,172,22
2020-04-22,NIAGARA REGION,2246,114,241,33
2020-04-22,NORTH BAY PARRY SOUND DISTRICT,2247,3,11,0
2020-04-22,NORTHWESTERN,2249,2,11,0
2020-04-22,OXFORD ELGIN-ST.THOMAS,4913,13,31,4
2020-04-22,PEEL REGION,2253,1024,732,49
2020-04-22,PETERBOROUGH COUNTY-CITY,2255,6,52,1
2020-04-22,PORCUPINE,2256,10,39,3
2020-04-22,RENFREW COUNTY AND DISTRICT,2257,0,13,1
2020-04-22,SIMCOE MUSKOKA DISTRICT,2260,76,121,12
2020-04-22,SUDBURY AND DISTRICT,2261,8,37,1
2020-04-22,THUNDER BAY DISTRICT,2262,19,32,0
2020-04-22,TIMISKAMING,2263,3,9,0
2020-04-22,TORONTO,3895,1869,1523,192
2020-04-22,WATERLOO REGION,2265,85,189,9
2020-04-22,WELLINGTON-DUFFERIN-GUELPH,2266,77,111,11
2020-04-22,WINDSOR-ESSEX COUNTY,2268,226,232,30
2020-04-22,YORK REGION,2270,456,645,56
2020-04-23,ALGOMA DISTRICT,2226,2,10,0
2020-04-23,BRANT COUNTY,2227,14,63,4
2020-04-23,CHATHAM-KENT,2240,11,25,1
2020-04-23,CITY OF HAMILTON,2237,112,222,17
2020-04-23,CITY OF OTTAWA,2251,393,524,30
2020-04-23,DURHAM REGION,2230,348,338,73
2020-04-23,EASTERN ONTARIO,2258,14,58,0
2020-04-23,GREY BRUCE,2233,26,38,0
2020-04-23,HALDIMAND-NORFOLK,2234,38,104,25
2020-04-23,"HALIBURTON, KAWARTHA, PINE RIDGE",2235,16,102,19
2020-04-23,HALTON REGION,2236,116,270,18
2020-04-23,HASTINGS & PRINCE EDWARD COUNTIES,2238,12,24,1
2020-04-23,HURON PERTH,5183,5,28,4
2020-04-23,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",2241,4,54,0
2020-04-23,LAMBTON COUNTY,2242,41,101,14
2020-04-23,"LEEDS, GRENVILLE AND LANARK DISTRICT",2243,115,133,39
2020-04-23,MIDDLESEX-LONDON,2244,139,189,24
2020-04-23,NIAGARA REGION,2246,114,256,34
2020-04-23,NORTH BAY PARRY SOUND DISTRICT,2247,3,11,0
2020-04-23,NORTHWESTERN,2249,2,13,0
2020-04-23,OXFORD ELGIN-ST.THOMAS,4913,15,32,4
2020-04-23,PEEL REGION,2253,1035,791,62
